filter,param,ssim,value
AVGF,sigma_min,0.414588974762976,0.3
AVGF,sigma_min,0.5119393013502738,0.5
AVGF,sigma_min,0.5890599645810553,0.8
AVGF,sigma_min,0.6037471986465912,1.0
AVGF,sigma_max,0.5130176719189733,1.5
AVGF,sigma_max,0.5119393013502738,2.0
AVGF,sigma_max,0.5102183534800151,2.5
AVGF,sigma_max,0.5083375434644717,3.0
AVGF,T_high_mult,0.5083090298314161,2.0
AVGF,T_high_mult,0.5119393013502738,4.0
AVGF,T_high_mult,0.5213465096882501,6.0
AVGF,T_high_mult,0.5321388732676102,8.0
